"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5319995880127","8.59099960327148","8.5620002746582","8.54899978637695","8.75100040435791","8.76799964904785","8.80200004577637","8.86200046539307","8.9040002822876","8.89500045776367","8.82199954986572","9.31099987030029","9.60599994659424","9.61999988555908","10.0209999084473","10.2639999389648","10.7189998626709","10.9139995574951","10.9569997787476","10.7550001144409","10.3590002059937","10.2049999237061","10.0290002822876","9.81900024414063","9.59799957275391","9.51000022888184","9.50399971008301","9.82800006866455","10.0790004730225","10.3229999542236",
"Angola","AGO","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.8919982910156","49.9129981994629","49.7890014648438","49.8009986877441","50.3740005493164","50.9389991760254","51.6080017089844","52.1160011291504","52.2879981994629","52.6640014648438","53.4440002441406","54.1440010070801","54.2589988708496","53.9339981079102","52.2330017089844","50.6679992675781","49.0859985351563","47.4710006713867","45.9720001220703","43.3390007019043","40.8779983520508","40.4830017089844","40.5740013122559","40.9150009155273","41.3759994506836","41.6529998779297","41.8779983520508","42.2130012512207","42.5320014953613","42.8499984741211",
"Albania","ALB","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6900005340576","26.7259998321533","27.3899993896484","28.0370006561279","28.30299949646","28.5","28.0300006866455","28.6520004272461","29.2059993743896","29.8929996490479","30.6389999389648","31.2919998168945","32.0180015563965","32.5009994506836","32.8699989318848","33.4550018310547","34.0149993896484","34.2620010375977","32.5219993591309","36.2709999084473","34.2080001831055","32.3400001525879","36.5859985351563","37.8359985351563","38.2900009155273","40.3839988708496","42.3250007629395","42.8440017700195","43.3199996948242","43.8160018920898",
"Andorra","AND","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.1000781736907","38.1758257308839","40.5432180897144","40.5984686346482","42.0605857881815","42.975280970435","43.9586522539884","45.6341323820879","46.876937466568","45.9717741316118","48.0688060001451","49.9073712558003","49.2143593154294","48.3195533934673","49.447494792896","51.0965475500758","51.0292597711308","52.4008591134076","53.3815391162509","55.085553861498","56.3154259980514","58.2691704950572","57.7008300756005","58.1190743679618","59.576466961285","60.4453390814665","60.7815114656511","61.0721890470131","61.5455223491034","61.9286382884862",
"United Arab Emirates","ARE","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.3280029296875","85.5029983520508","85.6520004272461","85.8710021972656","86.1620025634766","86.2490005493164","86.2699966430664","86.2320022583008","86.2470016479492","86.2850036621094","87.1279983520508","87.9629974365234","88.8150024414063","89.5979995727539","90.2369995117188","90.7969970703125","91.2880020141602","91.7040023803711","92.0780029296875","92.4769973754883","92.8580017089844","93.1829986572266","93.4530029296875","93.6630020141602","93.8239974975586","94.0459976196289","94.3140029907227","94.4570007324219","94.5299987792969","94.5810012817383",
"Argentina","ARG","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.8580017089844","80.5709991455078","83.3949966430664","85.1340026855469","84.5410003662109","87.2149963378906","88.0530014038086","88.9680023193359","88.9029998779297","89.4089965820313","89.2419967651367","90.088996887207","87.7919998168945","88.1689987182617","88.5970001220703","88.8300018310547","89.1119995117188","89.4120025634766","89.9160003662109","90.1719970703125","89.693000793457","90.1859970092773","90.7880020141602","91.4530029296875","91.2710037231445","91.0770034790039","90.8190002441406","90.8059997558594","91.1220016479492","91.3450012207031",
"Armenia","ARM","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2639999389648","39.2719993591309","39.564998626709","39.7389984130859","40.0779991149902","40.5699996948242","40.9930000305176","41.6910018920898","42.2350006103516","42.7439994812012","43.6300010681152","44.4659996032715","45.3730010986328","46.1189994812012","46.9990005493164","47.6660003662109","48.2669982910156","48.6949996948242","48.8720016479492","46.9049987792969","48.0029983520508","48.4819984436035","48.7820014953613","51.3740005493164","52.3849983215332","55.234001159668","56.3489990234375","57.3779983520508","58.1940002441406","58.8689994812012",
"American Samoa","ASM","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
